DyadID,ParticipantID,TrialNum,ClickTime_s,PAS
1,1,1,43.779804,2
1,1,2,29.236968,1
1,1,3,21.962952,2
1,1,4,35.738758,2
1,1,5,41.07869,2
1,1,6,34.749776,2
1,1,7,34.08115,2
1,1,8,33.251158,1
1,1,9,56.071118,2
1,1,11,19.117182,2
1,1,12,25.154054,2
1,1,13,40.717078,2
1,1,14,45.16098,3
1,1,15,38.566516,2
1,1,16,37.757743,2
1,1,17,53.497843,2
1,1,18,51.766665,2
1,2,1,44.793594,3
1,2,2,41.03702,4
1,2,3,38.460644,2
1,2,4,51.942751,4
1,2,5,25.481678,4
1,2,6,34.769182,3
1,2,7,39.02091,3
1,2,8,39.602041,4
1,2,9,54.903871,3
1,2,10,29.697077,4
1,2,12,16.886818,3
1,2,13,52.18305,3
1,2,14,37.187426,3
1,2,15,24.846432,4
1,2,16,36.908226,4
1,2,17,19.053864,4
1,2,18,40.698066,3
2,1,1,49.873295,3
2,1,3,37.548966,3
2,1,4,19.245694,4
2,1,5,45.274847,4
2,1,6,25.127674,4
2,1,7,23.329744,4
2,1,8,23.816536,4
2,1,9,18.580084,4
2,1,10,34.792031,4
2,1,11,31.951806,3
2,1,12,23.795849,3
2,1,13,26.998072,4
2,1,14,28.227643,4
2,1,15,22.617641,4
2,1,16,39.919561,4
2,1,17,28.44914,3
2,1,18,9.649953,4
2,2,1,51.935266,3
2,2,2,12.31346,3
2,2,3,37.39665,4
2,2,4,18.994741,4
2,2,5,37.485736,4
2,2,6,28.655534,3
2,2,7,18.256628,4
2,2,8,18.263886,4
2,2,9,15.347654,4
2,2,10,34.519584,4
2,2,11,53.991476,3
2,2,13,47.195701,3
2,2,14,31.483136,4
2,2,15,22.656977,4
2,2,16,52.159784,3
2,2,17,28.09851,3
2,2,18,15.421783,4
3,1,1,24.015276,2
3,1,2,55.497887,2
3,1,3,22.741431,2
3,1,4,46.86635,2
3,1,5,33.150417,3
3,1,6,56.896204,2
3,1,8,31.229384,4
3,1,9,56.300141,2
3,1,10,56.598098,3
3,1,11,7.392718,2
3,1,12,24.17012,2
3,1,13,33.579162,2
3,1,14,47.011508,2
3,1,15,27.918709,2
3,1,16,4.448261,3
3,1,17,15.461476,3
3,1,18,3.868528,4
3,2,1,50.032544,2
3,2,2,20.458634,3
3,2,3,14.151291,2
3,2,4,55.036248,2
3,2,5,27.118158,2
3,2,6,16.734525,2
3,2,7,5.090071,3
3,2,8,22.505279,3
3,2,9,21.540281,2
3,2,10,23.823582,2
3,2,11,13.308685,3
3,2,12,8.727409,2
3,2,13,40.57064,3
3,2,15,13.460196,4
3,2,16,8.202197,2
3,2,17,23.659826,4
3,2,18,18.918905,4
4,1,1,32.396576,2
4,1,2,56.447275,2
4,1,3,50.273867,1
4,1,4,48.45618,3
4,1,5,7.774625,2
4,1,6,23.152256,2
4,1,7,32.926396,2
4,1,8,48.472422,3
4,1,9,31.788143,2
4,1,10,47.386748,2
4,1,12,24.990833,2
4,1,13,50.275843,3
4,1,14,41.975899,2
4,1,16,41.450598,2
4,1,17,35.318947,2
4,1,18,33.87978,2
4,2,1,16.713238,3
4,2,2,22.073632,2
4,2,3,42.911388,4
4,2,4,42.092221,3
4,2,5,17.237488,2
4,2,6,31.368431,3
4,2,7,6.355071,4
4,2,8,26.41017,3
4,2,9,6.034538,4
4,2,10,24.70487,3
4,2,11,26.433542,3
4,2,12,38.714996,4
4,2,13,6.586704,3
4,2,14,41.641934,4
4,2,15,34.224977,4
4,2,16,45.989964,4
4,2,17,27.680853,4
4,2,18,31.895842,4
5,1,1,13.303935,2
5,1,2,6.588518,2
5,1,3,34.755595,3
5,1,4,16.025262,2
5,1,6,11.414037,3
5,1,7,17.064755,3
5,1,8,54.132185,3
5,1,9,37.650474,3
5,1,10,55.595217,3
5,1,11,35.896434,3
5,1,13,10.520687,3
5,1,14,52.823426,3
5,1,15,47.768437,3
5,1,16,24.625008,3
5,1,17,43.083008,3
5,1,18,52.931994,3
5,2,1,39.277481,2
5,2,2,27.754255,3
5,2,3,16.514255,2
5,2,4,14.634363,2
5,2,5,27.00885,3
5,2,6,4.689134,4
5,2,7,40.005104,3
5,2,8,21.414183,3
5,2,9,20.197806,2
5,2,10,27.379325,2
5,2,11,53.020118,3
5,2,12,25.386652,2
5,2,13,24.846096,2
5,2,14,24.968497,2
5,2,15,15.917139,2
5,2,16,17.749182,2
5,2,17,44.022544,2
5,2,18,29.600201,2
6,1,1,59.773312,2
6,1,2,45.301235,2
6,1,3,0.0,2
6,1,5,39.517461,2
6,1,6,14.928669,3
6,1,7,36.542121,2
6,1,8,59.231791,3
6,1,9,40.316101,3
6,1,10,54.033541,2
6,1,11,31.072859,3
6,1,12,37.639836,3
6,1,13,9.77578,3
6,1,14,39.932035,3
6,1,15,58.844412,3
6,1,16,17.036201,3
6,1,17,19.226495,2
6,1,18,48.318589,3
6,2,2,43.794817,3
6,2,3,32.602106,4
6,2,4,26.272622,3
6,2,5,35.452531,3
6,2,6,21.620263,4
6,2,7,38.299378,3
6,2,8,54.809779,3
6,2,9,45.627408,4
6,2,10,19.452988,2
6,2,11,30.193924,4
6,2,12,45.111299,3
6,2,13,32.07135,4
6,2,14,39.462579,3
6,2,15,39.978935,4
6,2,16,14.566304,4
6,2,17,35.885945,2
6,2,18,29.047985,4
7,1,1,30.418025,2
7,1,2,51.144544,3
7,1,3,16.247791,4
7,1,4,44.916533,4
7,1,5,14.248076,4
7,1,6,8.212784,3
7,1,7,21.056551,3
7,1,8,41.261083,3
7,1,9,30.010792,4
7,1,10,30.284924,4
7,1,12,45.537208,2
7,1,13,44.466606,3
7,1,14,56.813785,2
7,1,15,15.733094,3
7,1,16,41.137778,3
7,1,17,23.50253,3
7,1,18,40.581493,2
7,2,1,24.652116,2
7,2,2,7.772764,2
7,2,3,26.273112,2
7,2,4,21.963452,2
7,2,5,17.523573,2
7,2,6,37.902891,2
7,2,7,47.1545,3
7,2,9,25.662135,3
7,2,10,34.364847,4
7,2,12,31.721108,2
7,2,13,57.733018,3
7,2,14,54.857006,3
7,2,15,17.230712,4
7,2,16,48.873672,3
7,2,17,54.874966,2
7,2,18,46.210101,3
8,1,1,20.056324,2
8,1,3,12.791135,2
8,1,4,56.086021,3
8,1,5,24.75352,2
8,1,6,24.219953,2
8,1,7,8.417847,3
8,1,9,37.575325,3
8,1,10,27.579786,3
8,1,12,31.032739,4
8,1,13,53.532928,2
8,1,14,1.196732,3
8,1,15,17.774895,4
8,1,16,8.151716,3
8,1,18,13.846083,3
8,2,1,43.464232,2
8,2,2,44.285218,3
8,2,3,22.89819,3
8,2,4,42.436302,3
8,2,5,52.408258,4
8,2,6,58.095377,4
8,2,8,53.165696,2
8,2,9,51.922354,2
8,2,10,57.920389,3
8,2,11,56.268834,3
8,2,12,58.342557,2
8,2,14,31.128549,4
8,2,15,55.70064,3
8,2,16,35.401883,4
8,2,18,25.735572,2
9,1,1,41.747217,3
9,1,2,49.061783,4
9,1,3,32.641366,2
9,1,4,27.535706,4
9,1,6,38.448837,3
9,1,7,38.487182,4
9,1,8,33.588653,3
9,1,9,51.46272,4
9,1,10,48.604357,4
9,1,12,32.451084,3
9,1,14,59.804042,2
9,1,15,53.813146,4
9,1,16,25.144557,4
9,1,17,33.503474,4
9,1,18,16.402815,3
9,2,1,23.600295,2
9,2,2,24.914084,3
9,2,3,44.966745,4
9,2,4,42.579201,3
9,2,5,34.413032,4
9,2,6,31.354755,3
9,2,7,30.771518,4
9,2,9,43.655164,3
9,2,10,44.484749,2
9,2,11,36.180087,3
9,2,12,26.920706,3
9,2,13,15.175828,4
9,2,14,22.55709,3
9,2,15,10.109077,4
9,2,16,35.776356,4
9,2,17,25.163704,3
9,2,18,12.26115,4
10,1,1,45.045929,3
10,1,2,19.112078,4
10,1,3,27.224219,4
10,1,4,18.059445,4
10,1,5,15.197035,4
10,1,6,27.977264,4
10,1,7,14.438645,4
10,1,8,44.493287,4
10,1,9,49.666637,3
10,1,10,37.31349,4
10,1,12,25.437771,3
10,1,13,42.303143,3
10,1,14,37.836197,4
10,1,15,40.28672,3
10,1,16,23.130467,4
10,1,17,29.079417,4
10,1,18,25.03386,4
10,2,1,18.395614,3
10,2,2,14.077067,4
10,2,3,31.968873,4
10,2,4,35.844963,4
10,2,5,24.821101,4
10,2,7,30.330334,4
10,2,8,12.246391,3
10,2,9,27.15465,4
10,2,10,30.784943,4
10,2,11,12.342252,4
10,2,12,29.642464,4
10,2,13,16.136957,4
10,2,14,22.203648,4
10,2,15,24.873189,4
10,2,16,8.291099,4
10,2,17,42.055126,4
10,2,18,13.270926,4
11,1,1,32.664729,3
11,1,3,12.672936,4
11,1,5,7.290171,4
11,1,6,57.256047,2
11,1,7,25.968014,3
11,1,8,31.89218,4
11,1,9,14.524134,3
11,1,10,54.243061,4
11,1,11,9.45524,4
11,1,12,11.404001,4
11,1,13,14.115069,4
11,1,14,34.310009,4
11,1,15,29.896987,4
11,1,17,29.326688,4
11,1,18,13.086875,4
11,2,1,43.05879,2
11,2,2,49.069948,2
11,2,3,50.695765,1
11,2,4,34.472366,2
11,2,5,57.756762,3
11,2,6,42.713731,2
11,2,7,33.533451,1
11,2,8,51.602583,2
11,2,10,18.481918,3
11,2,11,15.337833,2
11,2,12,32.988355,4
11,2,13,0.0,3
11,2,14,52.742032,2
11,2,15,48.619054,2
11,2,16,43.148155,2
11,2,17,25.973607,3
11,2,18,34.343564,4
12,1,1,18.635539,4
12,1,2,9.934768,2
12,1,3,40.810065,4
12,1,4,45.851493,4
12,1,5,41.624648,4
12,1,6,54.641367,2
