channel,tau_star,A_free,B_free,R2_free,RMSE_free,trough_amp_free,t_trough_free,A_lock,B_lock,R2_lock,RMSE_lock,dR2
Fp1,11.3,-159.06875022077332,-91.53466507183265,0.7634683909609445,2.598801376265098,-21.527614365222355,29.215728785049244,-426.8110680873051,-58.30485622559692,0.6416448446696308,9.361282668636328,0.12182354629131376
Fp2,2.5,-459.182127628669,-50.011267942966946,0.43896860492298784,15.235284098615367,-62.14354329981636,23.653067867357933,-384.98159267137316,-59.47341996175981,0.4292205960197121,13.029388912199131,0.009748008903275762
F7,12.8,-105.72289690644898,-66.85380293304164,0.5616251061090964,2.741762821624851,-14.308038197429477,30.16390962329208,-269.2851251182955,-45.962605261100435,0.5362820600863483,7.34907858135712,0.025343046022748172
F3,4.9,-215.41566283119138,-31.459790848078683,0.5075883462986415,6.22698863606073,-29.15333974286195,25.17015720854647,-241.67430112874575,-28.09886474323324,0.5063618693783181,7.003167858568999,0.001226476920323405
Fz,11.8,-101.765847288767,-40.69924583040236,0.5024930796605028,2.9722305870363503,-13.772509766639157,29.53178906446352,-209.52411590995422,-26.199503847668872,0.43892158001204074,6.952524772642202,0.0635714996484621
F4,2.5,-241.9673696118619,-23.0373333825935,0.4157865864693252,8.417750651760063,-32.74672250043948,23.653067867357933,-207.777942458099,-27.49740187889289,0.4109533375759661,7.3007629517006905,0.004833248893359121
F8,14.4,-136.5263792866044,-57.604349104933156,0.7545527920556014,2.285820534477081,-18.47683621002182,31.17530251741777,-309.03576348876726,-34.59118541329147,0.5489932167557301,8.220665965331701,0.20555957529987134
FC5,7.2,-72.10667747790043,-22.124478284168543,0.7384693037964594,1.2594259367103156,-9.758577619722736,26.624034493852154,-140.6745012442365,-13.949424647466843,0.7095998483082517,2.641175493384239,0.02886945548820763
FC1,12.9,-75.98332888182951,-23.491440418898488,0.8306140936832038,1.0072104521855587,-10.28322533548309,30.227121679174935,-163.67646057866767,-12.214941746781038,0.659634712837829,3.450621445591815,0.17097938084537478
FC2,3.5,-127.58327322889997,-14.12713075537424,0.6030251240116149,3.038065609316043,-17.266518418687323,24.28518842618649,-120.51650042637232,-14.998150760444775,0.6026924990267278,2.871786922813352,0.0003326249848870644
FC6,5.4,-96.15411418389192,-12.274784203327599,0.47339604750700837,2.976402091521291,-13.013044277442614,25.48621748796075,-110.96924268031361,-10.319771795252578,0.46872477189685635,3.4673179237434644,0.004671275610152015
T7,7.2,-66.14375794993916,-12.99500421474341,0.49456977586907136,1.9624912134989112,-8.95158421648897,26.624034493852154,-92.14936494392322,-9.580399581082839,0.4778662363123397,2.8269639780508156,0.01670353955673165
C3,15.0,-48.61612430070759,-12.899692271385836,0.48090172688143384,1.4827964874689399,-6.579476952102632,31.554574852714904,-92.25975267892807,-6.599805895864599,0.40591377599233214,3.2757469402791988,0.0749879508891017
Cz,2.5,-132.14940199228468,-10.459426910842971,0.4889664303777954,3.964962863331824,-17.884476748174837,23.653067867357933,-113.17447994120577,-12.891993673900966,0.4844247986893352,3.4266641913820663,0.004541631688460224
C4,13.9,-49.10912312513667,-23.024757300555482,0.475663714515818,1.513555169897943,-6.646197087642057,30.85924223800349,-139.82027771419394,-11.166795988209023,0.4597365574156589,4.448449287127319,0.01592715710015913
T8,15.0,-73.57117467574017,-16.496075184737734,0.7906617567322778,1.1113253026721501,-9.956775762791603,31.554574852714904,-161.99604044674132,-4.516927878156405,0.5391182429221512,4.39589547181512,0.25154351381012663
TP9,4.800000000000001,-101.57527352654542,9.67574252714608,0.8832039411074245,1.0722114917830867,-13.746718412551433,25.10694515266362,-103.80967246092051,10.022808423331657,0.8705315471032478,1.1749455894607725,0.012672394004176746
CP5,8.4,-72.29037835838086,-0.5723904458920674,0.8602443624144065,0.8551930346473886,-9.783438830413372,27.382579164446426,-113.58124931395372,4.648760327809232,0.7480661544898807,1.9345061229230136,0.11217820792452582
CP1,6.4,-76.42555190401632,-0.20012504058179442,0.8284514624301912,1.02069620716374,-10.343073713444493,26.11833804678931,-92.26211372172934,1.854850405725397,0.7799781162965526,1.4381538319754739,0.04847334613363863
CP2,5.4,-58.962053082670366,-1.1473225401206102,0.7074911897356562,1.1126934753687885,-7.979646154155386,25.48621748796075,-66.39626793298822,-0.1808408255954289,0.6917082514456778,1.3009282766218992,0.015782938289978343
CP6,3.5,-32.94569659182686,-0.15737883556746082,0.35912031158057744,1.2916848466529514,-4.458715179682393,24.28518842618649,-32.250699737843796,-0.25858935201333727,0.3576973886911876,1.2683564253050825,0.0014229228893898327
TP10,3.7,-19.497864391352586,-0.241154761837763,0.22612692167249493,1.0586092065352872,-2.6387489999127673,24.4116125379522,-19.286489097916192,-0.27440001065290703,0.22592136981418498,1.047749039347777,0.00020555185830994915
P7,5.5,-46.35912938788247,0.15633458355386054,0.379588293664189,1.7394549487358486,-6.2740259063118495,25.54942954384361,-48.89888598591197,0.5872492503605623,0.36322218257911654,1.900189695941176,0.016366111085072466
P3,5.7,-68.04166037808037,1.2544215442655846,0.6723081634464596,1.3941790936196286,-9.208437379156916,25.675853655609316,-79.15492758967821,2.704074335346068,0.645544137209701,1.7214177619810263,0.026764026236758554
Pz,13.600000000000001,-44.6627942492246,2.554285205395425,0.6631470348418167,0.9220386839021529,-6.0444519098573695,30.669606070354924,-67.8450650264597,5.755357130020816,0.628860449358736,1.5296777632188796,0.03428658548308072
P4,0.0,-52.84233135129706,14.86713069026524,0.5896251174673852,1.036964951447642,-7.151431880310727,22.07276647028654,-41.352699872234595,13.487108405151542,0.5577825772174253,1.0806362556743616,0.031842540249959916
P8,3.8000000000000003,-51.05661056208505,9.587510125198078,0.7854089621902058,0.7748350138660981,-6.909760851521211,24.47482459383506,-50.4595274838528,9.515950702830922,0.7838985989111923,0.7775570062889511,0.001510363279013549
PO9,15.0,-41.085310213821266,5.176299757673818,0.6758623393665684,0.8352698101662692,-5.560292094651598,31.554574852714904,-58.53279143982654,7.811735684773487,0.5787612890565235,1.4655608281111268,0.0971010503100449
O1,4.2,-36.653267008307985,6.12348244334707,0.722449256894743,0.6667622278386445,-4.960480272116553,24.727672817366482,-37.09632725413474,6.185857589911068,0.7215096566790005,0.6764023734324708,0.0009396002157425754
Oz,10.8,13.366508423545515,4.6866402586257925,0.23302297892474577,0.7117749798483668,1.8089602033851018,28.899668505634963,7.3206157983649565,5.215176059703233,0.07005522376912243,0.7827915780104152,0.16296775515562334
O2,10.9,22.324618785034467,7.975025052726794,0.811498867982155,0.315813880762502,3.021308606422044,28.96288056151782,39.69809738470613,5.745241512395563,0.7097005778146928,0.7451529266372391,0.10179829016746222
PO10,2.5,25.23132204400493,3.729705317358823,0.5556981743438603,0.6621376751693676,3.414688115259597,23.653067867357933,17.602926949390554,4.618307081989932,0.4314690291389912,0.5930309360546265,0.12422914520486905
AF7,4.7,-29.34817652596109,6.579000130049801,0.3181581881525022,1.260936762646729,-3.9718437826190525,25.04373309678076,-29.164288781253635,6.598139616317958,0.30558077347850043,1.2902963174958944,0.012577414674001752
AF3,6.1000000000000005,-80.61417981803595,10.925448798866771,0.8854028241416806,0.8416183868294471,-10.909942858561122,25.928701879140743,-77.48931007305711,10.763268142039244,0.7729481521918523,1.2325920017501517,0.11245467194982828
AF4,3.4000000000000004,-49.11219318895059,10.406432381806768,0.7219778512291231,0.8849158814191429,-6.64661257559787,24.221976370303636,-48.016424996733306,10.261534046218422,0.7174307501077783,0.8844076495043378,0.00454710112134471
AF8,0.0,-76.93269822921327,16.60351010981973,0.41179119293255806,2.162807709206909,-10.41170850500743,22.07276647028654,-40.78337803996752,12.611456683621975,0.1776221988683424,2.5754936044740835,0.23416899406421565
F5,3.8000000000000003,-90.56376056695859,14.112212043280168,0.8145432550184271,1.2546369742590866,-12.256472187302117,24.47482459383506,-89.36907343542062,13.971238173764126,0.810515648790404,1.2681874178777666,0.004027606228023006
F1,3.9000000000000004,-51.79261966451964,10.36663048428865,0.7467945258783476,0.875576940160569,-7.009368851863922,24.538036649717917,-51.27835088870506,10.30909170037647,0.7451099449301111,0.880218572459626,0.001684580948236536
F2,6.300000000000001,-49.5297005431965,12.16566501564251,0.7138128351878108,0.9100531565291629,-6.7031160516381085,26.055125990906454,-41.839562512962424,11.379934715295377,0.539412972764094,1.1346776604032698,0.17439986242371686
F6,2.5,24.758640884299037,7.893635121361855,0.24566951298090445,1.2732706470503428,3.3507176766301896,23.653067867357933,12.65154452715033,9.285918744608002,0.09683677172781646,1.1339573830157161,0.14883274125308799
FT9,12.200000000000001,41.64182460078567,9.105522367906923,0.746555052127607,0.7030588968950421,5.635608126836675,29.784637287994947,56.837220945369545,6.950321770131967,0.691358621829217,1.1145471111831275,0.05519643029838994
FT7,14.700000000000001,18.90342058989954,9.900857617544997,0.4411128562698783,0.616144375780249,2.5582997796748703,31.364938685066335,9.234917475290368,10.968234336563036,0.06528634595448757,1.0255370234626433,0.3758265103153907
FC3,6.4,-39.70083955636143,10.585628365393358,0.5270917164694894,1.103679555346274,-5.372924366091492,26.11833804678931,-39.08971904640788,10.692529490816208,0.4247398260948111,1.3351295960664549,0.10235189037467829
FC4,5.5,-77.1020130768829,11.471857365391402,0.6669764820137319,1.5989770713524185,-10.434622777872963,25.54942954384361,-82.5697216818172,12.277827090862063,0.6257746318822636,1.8739960389221872,0.041201850131468376
FT8,3.9000000000000004,-74.01530678754602,14.799223426322408,0.7733831625465405,1.1632169691353211,-10.016882507937323,24.538036649717917,-73.04864430871035,14.691068729592793,0.7685215045423993,1.1766022813632055,0.004861658004141178
FT10,4.1000000000000005,-53.08859533237324,14.951643000786007,0.8701391270765253,0.5954133197496281,-7.184760085940647,24.664460761483628,-52.79595339681943,14.92892854394142,0.8656571313316478,0.6104150075500956,0.004481995744877509
C5,3.9000000000000004,-59.81018060730404,14.174891269012651,0.7745445575638608,0.93685575059329,-8.094427732922453,24.538036649717917,-59.292279972614615,14.116946135827819,0.7736855246418305,0.9411574704001315,0.0008590329220302673
C1,4.6000000000000005,-50.13854605429389,13.951874957146158,0.6319553117571437,1.1107236059661583,-6.785514331329814,24.980521040897905,-48.76111748725276,13.827078657183437,0.6097241573997474,1.14494070681377,0.02223115435739631
C2,4.800000000000001,-17.51002508462091,12.792085229263643,0.15653366772475252,1.1798468182849247,-2.369724204307364,25.10694515266362,-15.106527969205272,12.524863570839182,0.12018026279047578,1.1995963815054962,0.036353404934276745
C6,2.5,16.173891182122112,11.816787199354085,0.1227098268457264,1.2692150303631446,2.1888981441706488,23.653067867357933,1.2462647479126692,13.513672889379604,0.0014331933859729196,0.9654653420464029,0.12127663345975348
TP7,2.5,22.98747969668951,11.069728917998372,0.23014664144162067,1.2339051338667342,3.1110170756473585,23.653067867357933,7.07875973463546,12.881002870846796,0.04656138575020208,0.9401146147119429,0.1835852556914186
CP3,5.800000000000001,-15.937939902786564,13.455715640422998,0.1947153108883185,0.940638142587378,-2.156965610951731,25.739065711492177,-9.423947659303016,12.73851287127353,0.06735297224766446,1.0292084667095946,0.12736233864065405
CPz,4.6000000000000005,-28.76238415399593,15.124431329190578,0.5675887432893092,0.728758552268335,-3.8925654060413004,24.980521040897905,-27.167105152260614,14.964821205555975,0.5202784565047518,0.7656147041202963,0.0473102867845574
CP4,3.4000000000000004,-44.47798872219616,13.672349282916455,0.5651464740545962,1.1328463957047321,-6.019441201513283,24.221976370303636,-43.15989450372412,13.503617114043061,0.5546285551330179,1.135090943130283,0.010517918921578273
TP8,3.4000000000000004,-69.80618221772504,14.733581195402584,0.828334940237321,0.9227132367202121,-9.447239442102415,24.221976370303636,-68.47952484881387,14.558115298322726,0.8230605835483793,0.9318528636103783,0.005274356688941717
P5,0.0,-85.42805382670946,16.86138628107089,0.7234384593852539,1.2424396971342297,-11.56142986099032,22.07276647028654,-68.19710717846115,14.716153599261004,0.7127556838071905,1.2706078749774237,0.010682775578063408
P1,4.1000000000000005,-49.10193976021392,15.810442584521796,0.6129110136282858,1.1328641800865444,-6.645224924915645,24.664460761483628,-48.165504696590006,15.712891774773704,0.603293976824772,1.1462945571136123,0.009617036803513779
P2,5.0,-57.779709545445094,16.706136798160514,0.755952568664257,0.963513802352891,-7.819633356662027,25.233369264429328,-58.29430145252982,16.843047804709773,0.716717557992407,1.075603289514501,0.03923501067184998
