channel,A,B,R2,RMSE,trough_amp,t_trough
Fp1,-426.8110680873051,-58.30485622559692,0.6416448446696308,9.361282668636328,-57.762596788116625,24.538036649717913
Fp2,-384.98159267137316,-59.47341996175981,0.4292205960197121,13.029388912199131,-52.10159288506255,24.538036649717913
F7,-269.2851251182955,-45.962605261100435,0.5362820600863483,7.34907858135712,-36.44377867929121,24.538036649717913
F3,-241.67430112874575,-28.09886474323324,0.5063618693783181,7.003167858568999,-32.70705999426924,24.538036649717913
Fz,-209.52411590995422,-26.199503847668872,0.43892158001204074,6.952524772642202,-28.356005571574524,24.538036649717913
F4,-207.777942458099,-27.49740187889289,0.4109533375759661,7.3007629517006905,-28.119686692887445,24.538036649717913
F8,-309.03576348876726,-34.59118541329147,0.5489932167557301,8.220665965331701,-41.823442581995174,24.538036649717913
FC5,-140.6745012442365,-13.949424647466843,0.7095998483082517,2.641175493384239,-19.03822347005797,24.538036649717913
FC1,-163.67646057866767,-12.214941746781038,0.659634712837829,3.450621445591815,-22.151200151580262,24.538036649717913
FC2,-120.51650042637232,-14.998150760444775,0.6026924990267278,2.871786922813352,-16.310134719888453,24.538036649717913
FC6,-110.96924268031361,-10.319771795252578,0.46872477189685635,3.4673179237434644,-15.018053888692654,24.538036649717913
T7,-92.14936494392322,-9.580399581082839,0.4778662363123397,2.8269639780508156,-12.471060404759838,24.538036649717913
C3,-92.25975267892807,-6.599805895864599,0.40591377599233214,3.2757469402791988,-12.485999760142567,24.538036649717913
Cz,-113.17447994120577,-12.891993673900966,0.4844247986893352,3.4266641913820663,-15.316500297999426,24.538036649717913
C4,-139.82027771419394,-11.166795988209023,0.4597365574156589,4.448449287127319,-18.922616886672284,24.538036649717913
T8,-161.99604044674132,-4.516927878156405,0.5391182429221512,4.39589547181512,-21.923780017069504,24.538036649717913
TP9,-103.80967246092051,10.022808423331657,0.8705315471032478,1.1749455894607725,-14.04911142519867,24.538036649717913
CP5,-113.58124931395372,4.648760327809232,0.7480661544898807,1.9345061229230136,-15.37155054627225,24.538036649717913
CP1,-92.26211372172934,1.854850405725397,0.7799781162965526,1.4381538319754739,-12.486319292538811,24.538036649717913
CP2,-66.39626793298822,-0.1808408255954289,0.6917082514456778,1.3009282766218992,-8.985757726564987,24.538036649717913
CP6,-32.250699737843796,-0.25858935201333727,0.3576973886911876,1.2683564253050825,-4.364657583600041,24.538036649717913
TP10,-19.286489097916192,-0.27440001065290703,0.22592136981418498,1.047749039347777,-2.610142464706331,24.538036649717913
P7,-48.89888598591197,0.5872492503605623,0.36322218257911654,1.900189695941176,-6.617744584858228,24.538036649717913
P3,-79.15492758967821,2.704074335346068,0.645544137209701,1.7214177619810263,-10.71245454492267,24.538036649717913
Pz,-67.8450650264597,5.755357130020816,0.628860449358736,1.5296777632188796,-9.18183109156233,24.538036649717913
P4,-41.352699872234595,13.487108405151542,0.5577825772174253,1.0806362556743616,-5.596479349807507,24.538036649717913
P8,-50.4595274838528,9.515950702830922,0.7838985989111923,0.7775570062889511,-6.8289544440128624,24.538036649717913
PO9,-58.53279143982654,7.811735684773487,0.5787612890565235,1.4655608281111268,-7.921551908138504,24.538036649717913
O1,-37.09632725413474,6.185857589911068,0.7215096566790005,0.6764023734324708,-5.0204419559764,24.538036649717913
Oz,7.3206157983649565,5.215176059703233,0.07005522376912243,0.7827915780104152,0.990737612538143,24.538036649717913
O2,39.69809738470613,5.745241512395563,0.7097005778146928,0.7451529266372391,5.372553253513838,24.538036649717913
PO10,17.602926949390554,4.618307081989932,0.4314690291389912,0.5930309360546265,2.382297104489173,24.538036649717913
AF7,-29.164288781253635,6.598139616317958,0.30558077347850043,1.2902963174958944,-3.946957282605327,24.538036649717913
AF3,-77.48931007305711,10.763268142039244,0.7729481521918523,1.2325920017501517,-10.48703772654689,24.538036649717913
AF4,-48.016424996733306,10.261534046218422,0.7174307501077783,0.8844076495043378,-6.498316476942472,24.538036649717913
AF8,-40.78337803996752,12.611456683621975,0.1776221988683424,2.5754936044740835,-5.519430018384855,24.538036649717913
F5,-89.36907343542062,13.971238173764126,0.810515648790404,1.2681874178777666,-12.09478886597629,24.538036649717913
F1,-51.27835088870506,10.30909170037647,0.7451099449301111,0.880218572459626,-6.93977014142931,24.538036649717913
F2,-41.839562512962424,11.379934715295377,0.539412972764094,1.1346776604032698,-5.6623690431877325,24.538036649717913
F6,12.65154452715033,9.285918744608002,0.09683677172781646,1.1339573830157161,1.7122003619625072,24.538036649717913
FT9,56.837220945369545,6.950321770131967,0.691358621829217,1.1145471111831275,7.692081395023523,24.538036649717913
FT7,9.234917475290368,10.968234336563036,0.06528634595448757,1.0255370234626433,1.2498101721851662,24.538036649717913
FC3,-39.08971904640788,10.692529490816208,0.4247398260948111,1.3351295960664549,-5.290218198785224,24.538036649717913
FC4,-82.5697216818172,12.277827090862063,0.6257746318822636,1.8739960389221872,-11.174596670577012,24.538036649717913
FT8,-73.04864430871035,14.691068729592793,0.7685215045423993,1.1766022813632055,-9.886058967569891,24.538036649717913
FT10,-52.79595339681943,14.92892854394142,0.8656571313316478,0.6104150075500956,-7.145155306705562,24.538036649717913
C5,-59.292279972614615,14.116946135827819,0.7736855246418305,0.9411574704001315,-8.024337503838337,24.538036649717913
C1,-48.76111748725276,13.827078657183437,0.6097241573997474,1.14494070681377,-6.599099646071101,24.538036649717913
C2,-15.106527969205272,12.524863570839182,0.12018026279047578,1.1995963815054962,-2.044446241434207,24.538036649717913
C6,1.2462647479126692,13.513672889379604,0.0014331933859729196,0.9654653420464029,0.1686635926465668,24.538036649717913
TP7,7.07875973463546,12.881002870846796,0.04656138575020208,0.9401146147119429,0.9580059536508193,24.538036649717913
CP3,-9.423947659303016,12.73851287127353,0.06735297224766446,1.0292084667095946,-1.2753926256787869,24.538036649717913
CPz,-27.167105152260614,14.964821205555975,0.5202784565047518,0.7656147041202963,-3.6766678705000304,24.538036649717913
CP4,-43.15989450372412,13.503617114043061,0.5546285551330179,1.135090943130283,-5.841056547123827,24.538036649717913
TP8,-68.47952484881387,14.558115298322726,0.8230605835483793,0.9318528636103783,-9.267695891322882,24.538036649717913
P5,-68.19710717846115,14.716153599261004,0.7127556838071905,1.2706078749774237,-9.229474815914674,24.538036649717913
P1,-48.165504696590006,15.712891774773704,0.603293976824772,1.1462945571136123,-6.518492220347408,24.538036649717913
P2,-58.29430145252982,16.843047804709773,0.716717557992407,1.075603289514501,-7.889275798158606,24.538036649717913
P6,-75.7017186349815,17.37795862619754,0.8150414874217229,1.058383975754774,-10.245113532963584,24.538036649717913
PO7,-99.3986084414177,18.844347417784007,0.8844272123645048,1.0545502108592246,-13.452138826744426,24.538036649717913
PO3,-92.017089023184,16.464396598879528,0.7956385444464518,1.3686748567600644,-12.453158805561213,24.538036649717913
POz,-96.05586885158388,17.606392451559085,0.7938768862329126,1.4364843058401895,-12.999748217568028,24.538036649717913
PO4,-55.69505991899237,14.171599915199385,0.7168635752895651,1.0272744883790694,-7.537506709016948,24.538036649717913
PO8,-88.20289605920222,16.971438506073937,0.4558492003786685,2.8282779954317774,-11.936963920461642,24.538036649717913
