bin_center,pas_level,grand_prop,grand_sem,n_participants
0.5,1,0.0,0.0,3
1.5,1,0.0,0.0,2
2.5,1,0.25,0.25,4
3.5,1,0.0,0.0,2
4.5,1,0.0,0.0,4
5.5,1,0.0,0.0,2
6.5,1,0.0,0.0,6
7.5,1,0.0,0.0,7
8.5,1,0.0,0.0,8
9.5,1,0.125,0.125,8
10.5,1,0.0,0.0,8
11.5,1,0.0,0.0,13
12.5,1,0.06666666666666667,0.06666666666666667,15
13.5,1,0.0,0.0,19
14.5,1,0.0,0.0,18
15.5,1,0.0,0.0,20
16.5,1,0.0,0.0,21
17.5,1,0.0,0.0,18
18.5,1,0.0,0.0,19
19.5,1,0.0,0.0,21
20.5,1,0.0,0.0,15
21.5,1,0.0,0.0,19
22.5,1,0.0,0.0,22
23.5,1,0.0,0.0,22
24.5,1,0.0,0.0,21
25.5,1,0.0,0.0,24
26.5,1,0.0,0.0,17
27.5,1,0.0,0.0,24
28.5,1,0.0,0.0,14
29.5,1,0.05,0.04999999999999997,20
30.5,1,0.0,0.0,20
31.5,1,0.0,0.0,23
32.5,1,0.0,0.0,17
33.5,1,0.125,0.08539125638299665,16
34.5,1,0.0,0.0,20
35.5,1,0.0,0.0,17
36.5,1,0.0,0.0,12
37.5,1,0.0,0.0,23
38.5,1,0.0,0.0,17
39.5,1,0.0,0.0,14
40.5,1,0.0,0.0,22
41.5,1,0.0,0.0,11
42.5,1,0.0,0.0,19
43.5,1,0.0,0.0,17
44.5,1,0.07692307692307693,0.07692307692307693,13
45.5,1,0.0,0.0,16
46.5,1,0.0,0.0,9
47.5,1,0.0,0.0,11
48.5,1,0.14285714285714285,0.09705231721239393,14
49.5,1,0.0,0.0,13
50.5,1,0.11538461538461539,0.08308641921035717,13
51.5,1,0.038461538461538464,0.038461538461538464,13
52.5,1,0.0,0.0,9
53.5,1,0.0,0.0,14
54.5,1,0.0,0.0,13
55.5,1,0.0,0.0,5
56.5,1,0.1111111111111111,0.1111111111111111,9
57.5,1,0.0,0.0,13
58.5,1,0.0,0.0,5
59.5,1,0.0,0.0,4
0.5,2,0.3333333333333333,0.33333333333333337,3
1.5,2,0.0,0.0,2
2.5,2,0.125,0.125,4
3.5,2,0.0,0.0,2
4.5,2,0.0,0.0,4
5.5,2,0.0,0.0,2
6.5,2,0.16666666666666666,0.16666666666666669,6
7.5,2,0.5714285714285714,0.17003401020340117,7
8.5,2,0.125,0.125,8
9.5,2,0.125,0.125,8
10.5,2,0.125,0.125,8
11.5,2,0.19230769230769232,0.10649517772971893,13
12.5,2,0.2,0.10690449676496977,15
13.5,2,0.18421052631578946,0.08727959974619472,19
14.5,2,0.16666666666666666,0.09038769075777338,18
15.5,2,0.2,0.09176629354822471,20
16.5,2,0.19047619047619047,0.08780518530755135,21
17.5,2,0.19444444444444445,0.09163447642359446,18
18.5,2,0.07894736842105263,0.05752139056405264,19
19.5,2,0.23809523809523808,0.08876834229670118,21
20.5,2,0.26666666666666666,0.11818736805705578,15
21.5,2,0.3157894736842105,0.10956136839295434,19
22.5,2,0.23484848484848486,0.08680301386807603,22
23.5,2,0.25,0.08547043234472847,22
24.5,2,0.38095238095238093,0.10858813572372741,21
25.5,2,0.25,0.09028938981432691,24
26.5,2,0.17647058823529413,0.09530501027070382,17
27.5,2,0.3263888888888889,0.09329319285779493,24
28.5,2,0.16666666666666666,0.09727671593325642,14
29.5,2,0.2,0.09176629354822471,20
30.5,2,0.11666666666666665,0.06956422418563803,20
31.5,2,0.17391304347826086,0.08081046758996394,23
32.5,2,0.3235294117647059,0.11295802570395012,17
33.5,2,0.1875,0.08984941105353261,16
34.5,2,0.2,0.08429272304235247,20
35.5,2,0.20588235294117646,0.09643291947502941,17
36.5,2,0.2916666666666667,0.12995239998794275,12
37.5,2,0.17391304347826086,0.08081046758996392,23
38.5,2,0.23529411764705882,0.10604562574894086,17
39.5,2,0.17857142857142858,0.09954764248348044,14
40.5,2,0.17424242424242425,0.07635049361236912,22
41.5,2,0.2727272727272727,0.14083575804390605,11
42.5,2,0.23684210526315788,0.09649122807017545,19
43.5,2,0.38235294117647056,0.10955635607170104,17
44.5,2,0.4230769230769231,0.13688561861578605,13
45.5,2,0.28125,0.11151186409227196,16
46.5,2,0.4444444444444444,0.17568209223157663,9
47.5,2,0.2727272727272727,0.14083575804390605,11
48.5,2,0.32142857142857145,0.12411381316567605,14
49.5,2,0.3076923076923077,0.13323467750529824,13
50.5,2,0.3076923076923077,0.13323467750529824,13
51.5,2,0.2692307692307692,0.12162606385262997,13
52.5,2,0.2222222222222222,0.1469861839480328,9
53.5,2,0.39285714285714285,0.130284678037136,14
54.5,2,0.34615384615384615,0.1313711636661487,13
55.5,2,0.4,0.24494897427831783,5
56.5,2,0.5185185185185185,0.16769231737291512,9
57.5,2,0.23076923076923078,0.12162606385262997,13
58.5,2,0.5,0.22360679774997896,5
59.5,2,0.875,0.125,4
0.5,3,0.3333333333333333,0.33333333333333337,3
1.5,3,0.5,0.5,2
2.5,3,0.375,0.23935677693908453,4
3.5,3,0.0,0.0,2
4.5,3,0.375,0.23935677693908453,4
5.5,3,0.5,0.5,2
6.5,3,0.38888888888888884,0.2003084041924439,6
7.5,3,0.21428571428571427,0.10101525445522105,7
8.5,3,0.4375,0.17519122205668378,8
9.5,3,0.3125,0.16194961738586655,8
10.5,3,0.375,0.18298126367784995,8
11.5,3,0.37179487179487175,0.12820512820512822,13
12.5,3,0.2,0.09511897312113421,15
13.5,3,0.5175438596491229,0.10501921050332147,19
14.5,3,0.2777777777777778,0.1008316903303367,18
15.5,3,0.4,0.11239029738980327,20
16.5,3,0.23809523809523808,0.09523809523809523,21
17.5,3,0.39814814814814814,0.11203771223621245,18
18.5,3,0.3771929824561403,0.10802896609304775,19
19.5,3,0.23809523809523808,0.08876834229670118,21
20.5,3,0.4,0.13093073414159542,15
21.5,3,0.18421052631578946,0.0872795997461947,19
22.5,3,0.38636363636363635,0.10367603858169785,22
23.5,3,0.3333333333333333,0.09496714704969829,22
24.5,3,0.3333333333333333,0.10540925533894599,21
25.5,3,0.40972222222222215,0.09828397120712319,24
26.5,3,0.47058823529411764,0.12478354962115545,17
27.5,3,0.3194444444444444,0.09512930150218782,24
28.5,3,0.5119047619047619,0.1178048687120902,14
29.5,3,0.2,0.0917662935482247,20
30.5,3,0.425,0.1104714776239598,20
31.5,3,0.32608695652173914,0.09744105166498855,23
32.5,3,0.3235294117647059,0.11295802570395012,17
33.5,3,0.59375,0.11382323649706447,16
34.5,3,0.325,0.10434633627845705,20
35.5,3,0.5,0.12126781251816648,17
36.5,3,0.3333333333333333,0.14213381090374033,12
37.5,3,0.5217391304347826,0.10649955403405122,23
38.5,3,0.35294117647058826,0.11151287417722869,17
39.5,3,0.25,0.10149974286764377,14
40.5,3,0.643939393939394,0.09947883345279647,22
41.5,3,0.2727272727272727,0.14083575804390605,11
42.5,3,0.34210526315789475,0.10850277962151737,19
43.5,3,0.4117647058823529,0.11532637603939795,17
44.5,3,0.2692307692307692,0.12162606385262997,13
45.5,3,0.375,0.11636866703140784,16
46.5,3,0.5555555555555556,0.17568209223157663,9
47.5,3,0.45454545454545453,0.15745916432444335,11
48.5,3,0.32142857142857145,0.12411381316567605,14
49.5,3,0.38461538461538464,0.1404416814115811,13
50.5,3,0.4230769230769231,0.13688561861578605,13
51.5,3,0.34615384615384615,0.1313711636661487,13
52.5,3,0.5555555555555556,0.17568209223157663,9
53.5,3,0.39285714285714285,0.130284678037136,14
54.5,3,0.4230769230769231,0.13688561861578605,13
55.5,3,0.6,0.24494897427831783,5
56.5,3,0.37037037037037035,0.16144070161261753,9
57.5,3,0.6923076923076923,0.13323467750529824,13
58.5,3,0.2,0.20000000000000004,5
59.5,3,0.125,0.125,4
0.5,4,0.3333333333333333,0.33333333333333337,3
1.5,4,0.5,0.5,2
2.5,4,0.25,0.25,4
3.5,4,1.0,0.0,2
4.5,4,0.625,0.23935677693908453,4
5.5,4,0.5,0.5,2
6.5,4,0.4444444444444444,0.20487876571761976,6
7.5,4,0.21428571428571427,0.14869042853329517,7
8.5,4,0.4375,0.17519122205668378,8
9.5,4,0.4375,0.17519122205668378,8
10.5,4,0.5,0.1889822365046136,8
11.5,4,0.43589743589743585,0.13808114890088471,13
12.5,4,0.5333333333333333,0.12408394495995603,15
13.5,4,0.2982456140350877,0.09754869776381446,19
14.5,4,0.5555555555555556,0.11353563899372686,18
15.5,4,0.4,0.11239029738980327,20
16.5,4,0.5714285714285714,0.11065666703449763,21
17.5,4,0.4074074074074074,0.10881802267651708,18
18.5,4,0.5438596491228069,0.11459601135827734,19
19.5,4,0.5238095238095238,0.11167656571008164,21
20.5,4,0.3333333333333333,0.12598815766974242,15
21.5,4,0.5,0.11470786693528087,19
22.5,4,0.37878787878787873,0.1035573481723436,22
23.5,4,0.41666666666666663,0.10272267545166476,22
24.5,4,0.2857142857142857,0.10101525445522107,21
25.5,4,0.34027777777777785,0.09436582049856944,24
26.5,4,0.35294117647058826,0.11947115300935236,17
27.5,4,0.3541666666666667,0.09742688947241684,24
28.5,4,0.32142857142857145,0.11250327049144654,14
29.5,4,0.55,0.11413288653790232,20
30.5,4,0.4583333333333333,0.10873743793816705,20
31.5,4,0.5,0.10425720702853739,23
32.5,4,0.35294117647058826,0.11947115300935238,17
33.5,4,0.09375,0.06798820363366967,16
34.5,4,0.475,0.11165619222935148,20
35.5,4,0.29411764705882354,0.11391127488845347,17
36.5,4,0.375,0.13933010725567818,12
37.5,4,0.30434782608695654,0.09810018692482894,23
38.5,4,0.4117647058823529,0.11532637603939797,17
39.5,4,0.5714285714285714,0.12685050967709008,14
40.5,4,0.18181818181818182,0.08416546361568647,22
41.5,4,0.45454545454545453,0.15745916432444335,11
42.5,4,0.42105263157894735,0.10991196566790937,19
43.5,4,0.20588235294117646,0.09643291947502941,17
44.5,4,0.23076923076923078,0.10764651040863246,13
45.5,4,0.34375,0.1183105905375057,16
46.5,4,0.0,0.0,9
47.5,4,0.2727272727272727,0.14083575804390605,11
48.5,4,0.21428571428571427,0.11380392954509878,14
49.5,4,0.3076923076923077,0.13323467750529824,13
50.5,4,0.15384615384615385,0.10415433852097385,13
51.5,4,0.34615384615384615,0.1313711636661487,13
52.5,4,0.2222222222222222,0.1469861839480328,9
53.5,4,0.21428571428571427,0.11380392954509881,14
54.5,4,0.23076923076923078,0.12162606385262997,13
55.5,4,0.0,0.0,5
56.5,4,0.0,0.0,9
57.5,4,0.07692307692307693,0.07692307692307693,13
58.5,4,0.3,0.19999999999999998,5
59.5,4,0.0,0.0,4
